state,scope,election_date,total_seats,turnout_percent,assembly_number,sources
Gujarat,assembly,1962-02-19,154,,,S1
Gujarat,assembly,1967-02-15,168,63.70,3,S1
Gujarat,assembly,1972-03-05,168,58.39,4,S1
Gujarat,assembly,1975-06-08,182,60.11,5,S1
Gujarat,assembly,1980-05-28,182,48.27,6,S1
Gujarat,assembly,1985-03-05,182,48.82,7,S1
Gujarat,assembly,1990-02-27,182,52.20,8,S1
Gujarat,assembly,1995-02-20,182,64.39,9,S1
Gujarat,assembly,1998-02-28,182,59.30,10,S1
Gujarat,assembly,2002-12-12,182,61.54,11,S1
Gujarat,assembly,2007-12-11,182,59.77,12,S1
Gujarat,assembly,2012-12-13,182,72.02,13,S1
Gujarat,assembly,2017-12-09,182,68.41,14,S1
Gujarat,assembly,2022-12-01,182,64.84,15,S1
Jammu and Kashmir,assembly,1962-02-24,75,72.80,,N1
Jammu and Kashmir,assembly,1967-02-21,75,58.79,,N1
Jammu and Kashmir,assembly,1972-03-08,75,62.17,,N1
Jammu and Kashmir,assembly,1977-07-03,76,67.19,,N1
Jammu and Kashmir,assembly,1983-06-05,76,73.24,,N1
Jammu and Kashmir,assembly,1987-03-23,76,74.88,,N1
Jammu and Kashmir,assembly,1996-09-30,87,53.92,,N1
Jammu and Kashmir,assembly,2002-10-08,87,43.70,,N1
Jammu and Kashmir,assembly,2008-12-24,87,61.16,,N1
Jammu and Kashmir,assembly,2014-11-25,87,65.52,,N1
Jammu and Kashmir,assembly,2024-09-18,90,63.88,,N5
Punjab,assembly,1997-02-07,117,68.73,,N1
Punjab,assembly,2002-02-13,117,65.14,,N1
Punjab,assembly,2007-02-13,117,75.45,,N1
Punjab,assembly,2012-01-30,117,78.20,,N1
Punjab,assembly,2017-02-04,117,77.40,,N1
Punjab,assembly,2022-02-20,117,71.95,,N1
Haryana,assembly,2000-02-22,90,69.01,,N1
Haryana,assembly,2005-02-03,90,71.96,,N1
Haryana,assembly,2009-10-13,90,72.37,,N1
Haryana,assembly,2014-10-15,90,76.54,,N1
Haryana,assembly,2019-10-21,90,68.20,,N1
Haryana,assembly,2024-10-05,90,67.90,,N5
Himachal Pradesh,assembly,1998-02-28,68,71.23,,N1
Himachal Pradesh,assembly,2003-02-26,68,74.51,,N1
Himachal Pradesh,assembly,2007-12-19,68,71.61,,N1
Himachal Pradesh,assembly,2012-11-04,68,73.51,,N1
Himachal Pradesh,assembly,2017-11-09,68,74.61,,N1
Himachal Pradesh,assembly,2022-11-12,68,75.60,,N1
Uttarakhand,assembly,2002-02-14,70,54.34,,N1
Uttarakhand,assembly,2007-02-21,70,63.96,,N1
Uttarakhand,assembly,2012-01-30,70,66.85,,N1
Uttarakhand,assembly,2017-02-15,70,65.60,,N1
Uttarakhand,assembly,2022-02-14,70,65.37,,N1
Delhi,assembly,1993-11-06,70,61.75,,N1
Delhi,assembly,1998-11-25,70,48.99,,N1
Delhi,assembly,2003-12-01,70,53.42,,N1
Delhi,assembly,2008-11-29,70,57.58,,N1
Delhi,assembly,2013-12-04,70,65.63,,N1
Delhi,assembly,2015-02-07,70,67.12,,N1
Delhi,assembly,2020-02-08,70,62.82,,N1
Delhi,assembly,2025-02-08,70,60.50,,N5
