person,org,role,role_kind,start_date,end_date,evidence_status,sources
sunjoy-joshi,observer-research-foundation,Chairman,chairperson,,,documented,FS1
samir-saran,observer-research-foundation,President,chief_executive,,,documented,FS1
baljit-kapoor,observer-research-foundation,Honorary Secretary,secretary,,,documented,FS1
jagannatha-kumar,observer-research-foundation,Honorary Treasurer,treasurer,,,documented,FS1
jagannatha-kumar,reliance-foundation,CEO,chief_executive,,,documented,FS1
zia-mody,observer-research-foundation,Board of Trustees,trustee,,,documented,FS1
zia-mody,azb-and-partners,Founding Partner,other,,,documented,FS1
rajesh-shah,observer-research-foundation,Board of Trustees,trustee,,,documented,FS1
rajesh-shah,mukand-ltd,Co-Chairman & Managing Director,director,,,documented,FS1
bharat-goenka,observer-research-foundation,Board of Trustees,trustee,,,documented,FS1
bharat-goenka,tally-solutions,Managing Director,director,,,documented,FS1
annu-tandon,observer-research-foundation,Board of Trustees,trustee,,,documented,FS1
