slug,name,kind,legal_name,registration_number,registration_type,incorporated_on,dissolved_on,state,city,website,summary,parent,sources
observer-research-foundation,Observer Research Foundation,think_tank,,,,1990,,Delhi,New Delhi,https://www.orfonline.org,A New Delhi-based public policy research organisation established in 1990.,,FS1;FS2
ford-foundation,Ford Foundation,foundation,,,,,,,,,A United States-based philanthropic foundation that makes grants to organisations in India.,,FS3;FS4
macarthur-foundation,John D. and Catherine T. MacArthur Foundation,foundation,,,,,,,,https://www.macfound.org,A United States-based philanthropic foundation that makes grants internationally.,,FS2
reliance-foundation,Reliance Foundation,foundation,,,,,,,,,An India-based philanthropic organisation named as a publication collaborator in the Observer Research Foundation Annual Report 2024.,,FS1
mukand-ltd,Mukand Ltd,company,,,,,,,,,An Indian company named in the Observer Research Foundation Annual Report 2024.,,FS1
azb-and-partners,AZB & Partners,professional_body,,,,,,,,,An Indian law firm named in the Observer Research Foundation Annual Report 2024.,,FS1
tally-solutions,Tally Solutions,company,,,,,,,,,An Indian company named in the Observer Research Foundation Annual Report 2024.,,FS1
amnesty-international-india-private-limited,Amnesty International India Private Limited,company,,,,,,Karnataka,Bengaluru,,"A private limited company stated by the Enforcement Directorate to have been formed in the financial year 2013-14; searched by the Enforcement Directorate in October 2018 and named in Central Bureau of Investigation and Enforcement Directorate proceedings.",,FS8;FS10;FS11
indians-for-amnesty-international-trust,Indians for Amnesty International Trust,trust,,,,,,Karnataka,Bengaluru,,A trust stated by the Enforcement Directorate to have been formed in the financial year 2012-13 and named alongside Amnesty International India Private Limited in Enforcement Directorate proceedings.,,FS10;FS11;FS12
amnesty-international-india-foundation-trust,Amnesty International India Foundation Trust,trust,,,,,,,,,"A trust named by the Enforcement Directorate as having held permission under the Foreign Contribution (Regulation) Act; may be the same entity as Amnesty International India Foundation, which agency statements name separately, and the two have not been resolved.",,FS8;FS10
amnesty-international-south-asia-foundation,Amnesty International South Asia Foundation,foundation,,,,,,,,,An entity stated in the audited financial statements of Amnesty International Limited to be a dormant entity under its control and not consolidated on grounds of immateriality.,amnesty-international-limited,FS6
amnesty-international-limited,Amnesty International Limited,international,Amnesty International Limited,01606776,Company limited by guarantee without share capital,1982-01-06,,,London,https://www.amnesty.org,"A company limited by guarantee registered in England and Wales that operates as the International Secretariat of Amnesty International; not registered as a charity in England and Wales.",,FS6;FS7
amnesty-international-uk,Amnesty International (United Kingdom),international,,,,,,,,,"The United Kingdom Amnesty entity named in Enforcement Directorate statements as the remitter of funds to Indian entities; the statements do not identify which legal entity is meant, and it has not been resolved to Amnesty International Limited or to any other body.",,FS8;FS10;FS11
