slug,name,public_role_basis,birth_year,state,summary,sources
sunjoy-joshi,Sunjoy Joshi,"Chairman of Observer Research Foundation, per the ORF Annual Report 2024 Board of Trustees listing",,,Chairman of Observer Research Foundation.,FS1
samir-saran,Samir Saran,"President of Observer Research Foundation, per the ORF Annual Report 2024 Board of Trustees listing",,,President of Observer Research Foundation.,FS1
baljit-kapoor,Baljit Kapoor,"Honorary Secretary of Observer Research Foundation, per the ORF Annual Report 2024 Board of Trustees listing",,,"Honorary Secretary of Observer Research Foundation; listed as a former Director, Times of India.",FS1
jagannatha-kumar,Jagannatha Kumar,"Honorary Treasurer of Observer Research Foundation and Chief Executive Officer of Reliance Foundation, per the ORF Annual Report 2024 Board of Trustees listing",,,Honorary Treasurer of Observer Research Foundation.,FS1
zia-mody,Zia Mody,"Trustee of Observer Research Foundation and Founding Partner of AZB & Partners, per the ORF Annual Report 2024 Board of Trustees listing",,,Trustee of Observer Research Foundation.,FS1
rajesh-shah,Rajesh Shah,"Trustee of Observer Research Foundation and Co-Chairman and Managing Director of Mukand Ltd, per the ORF Annual Report 2024 Board of Trustees listing",,,Trustee of Observer Research Foundation.,FS1
bharat-goenka,Bharat Goenka,"Trustee of Observer Research Foundation and Managing Director of Tally Solutions, per the ORF Annual Report 2024 Board of Trustees listing",,,Trustee of Observer Research Foundation.,FS1
annu-tandon,Annu Tandon,"Trustee of Observer Research Foundation, per the ORF Annual Report 2024 Board of Trustees listing",,,"Trustee of Observer Research Foundation; listed as a former Member of Parliament, 15th Lok Sabha, from Unnao.",FS1
aakar-patel,Aakar Patel,"Former director of Amnesty International India Private Limited, per the Karnataka High Court interim order of 28 April 2025 as reported; described by the Enforcement Directorate as its CEO and by the Central Bureau of Investigation as its then executive director",,,Former officeholder at Amnesty International India Private Limited.,FS14;FS8;FS15
samit-aich,Samit Aich,"Executive Director of Greenpeace India, per reporting of his statements on the freezing of the organisation's accounts in May 2015",,,Former Executive Director of Greenpeace India.,FS22
vinuta-gopal,Vinuta Gopal,"Interim Executive Director of Greenpeace India, per reporting of the cancellation of the society's registration in November 2015",,,Former Interim Executive Director of Greenpeace India.,FS23;FS20
nita-ambani,Nita M. Ambani,"Founder and Chairperson of Reliance Foundation, per Reliance Industries Limited's own published profile and the Reliance Foundation website; listed as Non-Executive Director of Reliance Industries Limited in the Integrated Annual Report 2022-23",,,Founder and Chairperson of Reliance Foundation.,FS32;FS33;FS31
jagannatha-kumar,Jagannatha Kumar,"Chief Executive Officer of Reliance Foundation and Honorary Treasurer of Observer Research Foundation, per the ORF Annual Report 2024 Board of Trustees listing",,,Chief Executive Officer of Reliance Foundation.,FS34
