id,title,url,publisher,published_date,kind,is_official,is_primary
FS1,Annual Report 2024,https://www.orfonline.org/public/uploads/upload/20240905112741.pdf,Observer Research Foundation,2024-09-05,org_document,false,true
FS2,Observer Research Foundation grantee record,https://www.macfound.org/grantee/observer-research-foundation-45850/,John D. and Catherine T. MacArthur Foundation,2024-01-01,grant_database,false,true
FS3,MHA removes Ford Foundation from watch list,https://www.deccanchronicle.com/nation/current-affairs/180316/mha-removes-ford-foundation-from-watch-list.html,Deccan Chronicle,2016-03-18,news,false,false
FS4,"India: Govt Puts Ford Foundation on 'Watch List', Curbs on Funding",https://www.business-humanrights.org/en/latest-news/india-govt-puts-ford-foundation-on-watch-list-curbs-on-funding/,Business & Human Rights Resource Centre,2015-04-24,news,false,false
FS5,"Ministry of Home Affairs removes data on NGO licences, funding from FCRA website",https://www.deccanherald.com/amp/story/india%2Fministry-of-home-affairs-removes-data-on-ngo-licences-funding-from-fcra-website-1126240.html,Deccan Herald,2022-07-19,news,false,false
FS6,Amnesty International Limited: Report and financial statements for the year ended 31 December 2021,https://www.amnesty.org/en/wp-content/uploads/2023/01/FIN4063852022ENGLISH.pdf,Amnesty International Limited,2022-09-24,audited_statement,false,true
FS7,Company Overview for AMNESTY INTERNATIONAL LIMITED (01606776),https://find-and-update.company-information.service.gov.uk/company/01606776,Companies House,2025-09-09,corporate_filing,true,true
FS8,"ED penalises Amnesty India, Aakar Patel for FEMA violation",https://www.deccanherald.com/national/ed-penalises-amnesty-india-aakar-patel-for-fema-violation-1124917.html,Deccan Herald,2022-07-08,news,false,false
FS9,"After FEMA Penalty, ED Files Money Laundering Chargesheet Against Amnesty India",https://thewire.in/government/enforcement-directorate-amnesty-india-money-laundering,The Wire,2022-07-09,news,false,false
FS10,ED attaches Rs 1.54 cr worth assets in money laundering case against Amnesty India,https://www.deccanherald.com/india/ed-attaches-rs-154-cr-worth-assets-in-money-laundering-case-against-amnesty-india-1151556.html,Deccan Herald,2022-08-19,news,false,false
FS11,"Linked private company under ED probe, not Amnesty: Govt sources",https://www.deccanherald.com/amp/story/india%2Flinked-private-company-under-ed-probe-not-amnesty-govt-sources-894798.html,Deccan Herald,2020-09-29,news,false,false
FS12,Amnesty International India's assets attached in money laundering case,https://www.deccanherald.com/india/amnesty-international-indias-assets-attached-in-money-laundering-case-951929.html,Deccan Herald,2021-02-16,news,false,false
FS13,CBI gets nod to prosecute Amnesty International India ex-chief Aakar Patel,https://www.tribuneindia.com/news/nation/cbi-gets-nod-to-prosecute-amnesty-ex-chief-aakar-patel-385794,The Tribune,2022-04-12,news,false,false
FS14,Karnataka HC Stays Money Laundering Proceedings Against Amnesty India & Ex-Director Aakar Patel For Alleged FCRA Violation,https://www.livelaw.in/high-court/karnataka-high-court/karnataka-high-court-stays-money-laundering-case-against-aakar-patel-amnesty-india-290565,LiveLaw,2025-04-28,news,false,false
FS15,Amnesty FCRA 'violations' probe: CBI files supplementary charge sheet,https://www.business-standard.com/companies/news/amnesty-fcra-violations-probe-cbi-files-supplementary-charge-sheet-123122000297_1.html,Business Standard,2023-12-20,news,false,false
FS16,Amnesty India rubbishes money laundering allegations; says govt curbing critics under repressive laws,https://www.deccanherald.com/amp/story/india%2Famnesty-india-rubbishes-money-laundering-allegations-says-govt-curbing-critics-under-repressive-laws-1125261.html,Deccan Herald,2022-07-09,news,false,false
