donor,recipient,amount,currency,financial_year,date,funding_type,stated_purpose,programme,donor_country,reported_under_fcra,evidence_status,notes,sources
macarthur-foundation,observer-research-foundation,500000,USD,,,grant,"The award enables ORF to continue building awareness among international investors on India's local financial landscape.",,US,,documented,"Award year 2024, term stated as 2 years. Donor's grant database gives calendar award year only; the Indian financial year of receipt is not stated and has not been recorded.",FS2
macarthur-foundation,observer-research-foundation,500000,USD,,,grant,"This award enables ORF to build awareness among international investors on India's local financial landscape.",,US,,documented,"Award year 2022, term stated as 2 years. Indian financial year of receipt not stated in the source.",FS2
macarthur-foundation,observer-research-foundation,500000,USD,,,grant,"This award enables ORF to establish a platform to mobilize international institutional investors; and to support and nurture new partnerships and facilitate interactions among them to identify ways in which flow of funds for low carbon transitions can be accelerated.",,US,,documented,"Award year 2019, term stated as 2 years 4 months. Indian financial year of receipt not stated in the source.",FS2
macarthur-foundation,observer-research-foundation,500000,USD,,,grant,"This project supports ORF to work with global experts to map these constraints and propose solutions for active consideration by the international finance community.",,US,,documented,"Award year 2016, term stated as 2 years 6 months. Indian financial year of receipt not stated in the source.",FS2
amnesty-international-uk,amnesty-international-india-private-limited,517278111.87,INR,,,loan,"the fund lent by Amnesty International to AIIPL to ensure its objectives in the territorial jurisdiction of India",,GB,,documented,"Aggregate figure only. The Enforcement Directorate order, as quoted in reporting, gives a single total for inward remittances stated to cover November 2013 to June 2018; no year-by-year breakdown was published, so the total is recorded rather than split. Government sources separately describe the same total as export proceeds received across financial years 2013-14 to 2018-19, and an ED statement describes it as sent in the guise of export of services and foreign direct investment; funding_type follows the adjudication order's own wording. Amnesty International India has publicly called the allegations patently untrue. Source is reporting quoting the order, not the order itself.",FS9;FS8;FS11;FS16
reliance-industries-limited,reliance-foundation,1210000000,INR,2019-20,,csr,,,IN,,documented,Disclosed as a related party contribution within total CSR-related expenditure of Rs 909 crore for the year. Figure quoted from the company's annual report by a trade publication; the annual report itself was not retrieved.,FS26
reliance-industries-limited,reliance-foundation-youth-sports,370000000,INR,2019-20,,csr,,,IN,,documented,Disclosed as a related party contribution. Figure quoted from the company's annual report by a trade publication.,FS26
reliance-industries-limited,reliance-foundation-institution-of-education-and-research,2290000000,INR,2019-20,,csr,as Corpus for the proposed University project,,IN,,documented,Related party contribution. The same disclosure separately states Rs 228.80 crore of total CSR spending was contributed to RFIER as corpus for the proposed University project; the two figures are reported in the same document and appear to describe the same contribution rounded differently.,FS26
reliance-industries-limited,reliance-foundation,2890000000,INR,2018-19,,csr,,,IN,,documented,Prior-year comparative in the 2019-20 related party disclosure.,FS26
reliance-industries-limited,reliance-foundation-youth-sports,410000000,INR,2018-19,,csr,,,IN,,documented,Prior-year comparative in the 2019-20 related party disclosure.,FS26
reliance-industries-limited,reliance-foundation-institution-of-education-and-research,4760000000,INR,2018-19,,csr,,,IN,,documented,Prior-year comparative in the 2019-20 related party disclosure.,FS26
reliance-industries-limited,reliance-foundation-institution-of-education-and-research,1420000000,INR,2021-22,,csr,,,IN,,documented,Prior-year comparative in the 2022-23 disclosure.,FS28
reliance-industries-limited,reliance-foundation-institution-of-education-and-research,2070000000,INR,2022-23,,csr,,,IN,,documented,Total CSR expenditure for the year reported as Rs 744 crore against a mandatory obligation of Rs 739 crore.,FS28
reliance-industries-limited,reliance-foundation,1550000000,INR,2025-26,,csr,,,IN,,documented,"Total CSR expenditure for the year reported as Rs 1,223 crore against a statutory obligation of Rs 1,032 crore.",FS27
reliance-industries-limited,vividh-kridakhel-foundation,1080000000,INR,2025-26,,csr,,Sports for Development,IN,,documented,Sports for Development category spend for the year reported as Rs 115 crore in total.,FS27
reliance-industries-limited,reliance-foundation-hospital-trust,940000000,INR,2025-26,,csr,,Healthcare,IN,,documented,Healthcare category spend for the year reported as Rs 179 crore in total.,FS27
reliance-industries-limited,sir-hurkisondas-nurrotumdas-hospital-and-research-centre,240000000,INR,2025-26,,csr,,Healthcare,IN,,documented,,FS27
reliance-industries-limited,vividh-hunarvikas-foundation,220000000,INR,2025-26,,csr,,,IN,,documented,,FS27
reliance-industries-limited,jamnaben-hirachand-ambani-foundation,180000000,INR,2025-26,,csr,,,IN,,documented,Reported as lower than the previous year figure of Rs 188 crore.,FS27
reliance-industries-limited,jamnaben-hirachand-ambani-foundation,1880000000,INR,2024-25,,csr,,,IN,,documented,Prior-year comparative in the 2025-26 disclosure.,FS27
reliance-industries-limited,dhirubhai-ambani-foundation,70000000,INR,2025-26,,csr,,,IN,,documented,,FS27
reliance-industries-limited,hirachand-govardhandas-ambani-public-charitable-trust,30000000,INR,2025-26,,csr,,,IN,,documented,,FS27
reliance-industries-limited,reliance-foundation-youth-sports,20000000,INR,2025-26,,csr,,,IN,,documented,Reported as lower than the previous year figure of Rs 17 crore.,FS27
reliance-industries-limited,reliance-foundation-youth-sports,170000000,INR,2024-25,,csr,,,IN,,documented,Prior-year comparative in the 2025-26 disclosure.,FS27
