state,election_date,party,seats_won,seats_contested,vote_share_percent,alliance
Gujarat,1995-02-20,Bharatiya Janata Party,121,,42.51,
Gujarat,1995-02-20,Indian National Congress,45,,32.86,
Gujarat,1998-02-28,Bharatiya Janata Party,117,,44.81,
Gujarat,1998-02-28,Indian National Congress,53,,34.85,
Gujarat,2002-12-12,Bharatiya Janata Party,127,182,49.85,National Democratic Alliance
Gujarat,2002-12-12,Indian National Congress,51,182,39.28,United Progressive Alliance
Gujarat,2002-12-12,Janata Dal (United),2,,0.86,
Gujarat,2007-12-11,Bharatiya Janata Party,117,182,49.12,National Democratic Alliance
Gujarat,2007-12-11,Indian National Congress,59,173,38.00,United Progressive Alliance
Gujarat,2012-12-13,Bharatiya Janata Party,115,182,47.85,National Democratic Alliance
Gujarat,2012-12-13,Indian National Congress,61,176,38.93,United Progressive Alliance
Gujarat,2012-12-13,Gujarat Parivartan Party,2,,3.63,
Gujarat,2012-12-13,Nationalist Congress Party,2,,0.95,
Gujarat,2017-12-09,Bharatiya Janata Party,99,182,49.05,National Democratic Alliance
Gujarat,2017-12-09,Indian National Congress,77,177,41.44,United Progressive Alliance
Gujarat,2017-12-09,Bharatiya Tribal Party,2,,0.70,
Gujarat,2017-12-09,Nationalist Congress Party,1,,0.60,
Gujarat,2022-12-01,Bharatiya Janata Party,156,182,52.50,National Democratic Alliance
Gujarat,2022-12-01,Indian National Congress,17,179,27.28,United Progressive Alliance
Gujarat,2022-12-01,Aam Aadmi Party,5,181,12.92,
Gujarat,2022-12-01,Samajwadi Party,1,17,0.29,
Jammu and Kashmir,1962-02-24,Jammu & Kashmir National Conference,70,75,66.96,
Jammu and Kashmir,1967-02-21,Indian National Congress,61,75,52.82,
Jammu and Kashmir,1972-03-08,Indian National Congress,58,75,55.44,
Jammu and Kashmir,1977-07-03,Jammu & Kashmir National Conference,47,75,46.22,
Jammu and Kashmir,1983-06-05,Jammu & Kashmir National Conference,46,76,47.29,
Jammu and Kashmir,1987-03-23,Jammu & Kashmir National Conference,40,76,44.97,
Jammu and Kashmir,1996-09-30,Jammu & Kashmir National Conference,57,81,34.78,
Jammu and Kashmir,2002-10-08,Jammu & Kashmir National Conference,28,85,28.24,
Jammu and Kashmir,2002-10-08,Indian National Congress,20,85,24.16,
Jammu and Kashmir,2002-10-08,Jammu and Kashmir Peoples Democratic Party,16,61,9.28,
Jammu and Kashmir,2008-12-24,Jammu & Kashmir National Conference,28,84,23.07,
Jammu and Kashmir,2008-12-24,Jammu and Kashmir Peoples Democratic Party,21,84,15.39,
Jammu and Kashmir,2008-12-24,Indian National Congress,17,81,17.78,
Jammu and Kashmir,2014-11-25,Jammu and Kashmir Peoples Democratic Party,28,84,22.67,
Jammu and Kashmir,2014-11-25,Bharatiya Janata Party,25,87,22.98,
Jammu and Kashmir,2014-11-25,Jammu & Kashmir National Conference,15,85,20.77,
Jammu and Kashmir,2014-11-25,Indian National Congress,12,86,18.01,
Jammu and Kashmir,2024-09-18,Jammu & Kashmir National Conference,42,51,23.43,
Jammu and Kashmir,2024-09-18,Bharatiya Janata Party,29,62,25.64,
Jammu and Kashmir,2024-09-18,Indian National Congress,6,32,11.97,
Punjab,2012-01-30,Shiromani Akali Dal,56,94,34.73,National Democratic Alliance
Punjab,2012-01-30,Indian National Congress,46,117,40.09,
Punjab,2012-01-30,Bharatiya Janata Party,12,23,7.18,National Democratic Alliance
Punjab,2017-02-04,Indian National Congress,77,117,38.50,
Punjab,2017-02-04,Aam Aadmi Party,20,112,23.70,
Punjab,2017-02-04,Shiromani Akali Dal,15,94,25.20,
Punjab,2022-02-20,Aam Aadmi Party,92,117,42.01,
Punjab,2022-02-20,Indian National Congress,18,117,22.98,
Punjab,2022-02-20,Shiromani Akali Dal,3,97,18.38,
Haryana,2014-10-15,Bharatiya Janata Party,47,90,33.20,
Haryana,2014-10-15,Indian National Lok Dal,19,88,24.11,
Haryana,2014-10-15,Indian National Congress,15,90,20.58,
Haryana,2019-10-21,Bharatiya Janata Party,40,90,36.49,
Haryana,2019-10-21,Indian National Congress,31,90,28.08,
Haryana,2019-10-21,Jannayak Janta Party,10,87,14.80,
Haryana,2024-10-05,Bharatiya Janata Party,48,89,39.94,
Haryana,2024-10-05,Indian National Congress,37,89,39.09,
Haryana,2024-10-05,Indian National Lok Dal,2,53,4.14,
Himachal Pradesh,2012-11-04,Indian National Congress,36,68,42.81,
Himachal Pradesh,2012-11-04,Bharatiya Janata Party,26,68,38.47,
Himachal Pradesh,2017-11-09,Bharatiya Janata Party,44,68,48.79,
Himachal Pradesh,2017-11-09,Indian National Congress,21,68,41.68,
Himachal Pradesh,2022-11-12,Indian National Congress,40,68,43.90,
Himachal Pradesh,2022-11-12,Bharatiya Janata Party,25,68,43.00,
Uttarakhand,2012-01-30,Indian National Congress,32,70,33.79,
Uttarakhand,2012-01-30,Bharatiya Janata Party,31,70,33.13,
Uttarakhand,2017-02-15,Bharatiya Janata Party,57,70,46.51,
Uttarakhand,2017-02-15,Indian National Congress,11,70,33.49,
Uttarakhand,2022-02-14,Bharatiya Janata Party,47,70,44.33,
Uttarakhand,2022-02-14,Indian National Congress,19,70,37.91,
Delhi,2013-12-04,Bharatiya Janata Party,31,70,33.07,
Delhi,2013-12-04,Aam Aadmi Party,28,69,29.49,
Delhi,2013-12-04,Indian National Congress,8,70,24.55,
Delhi,2015-02-07,Aam Aadmi Party,67,70,54.34,
Delhi,2015-02-07,Bharatiya Janata Party,3,69,32.19,
Delhi,2020-02-08,Aam Aadmi Party,62,70,53.57,
Delhi,2020-02-08,Bharatiya Janata Party,8,67,38.51,
Delhi,2025-02-08,Aam Aadmi Party,45,70,47.00,
Delhi,2025-02-08,Bharatiya Janata Party,25,70,39.00,
