id,title,url,publisher,published_date
S1,Election Results - Full Statistical Reports,https://www.eci.gov.in/statistical-reports,Election Commission of India,2026-06-08
S2,Gujarat Legislative Assembly,http://www.gujaratassembly.gov.in/,Government of Gujarat,2026-03-25
S3,History of Gujarat,https://cmogujarat.gov.in/en/history-of-gujarat,Chief Minister's Office Gujarat,2026-01-01
S4,Former Governors of Gujarat,https://rajbhavan.gujarat.gov.in/,Raj Bhavan Gujarat,2026-01-01
S5,Schedule for the General Election to the Legislative Assembly of Gujarat 2017,https://www.pib.gov.in/newsite/erelcontent.aspx?relid=171925,Press Information Bureau,2017-10-25
N1,Statistical Reports of State Elections,https://www.eci.gov.in/statistical-reports,Election Commission of India,2026-01-01
N2,Raj Bhavan Portals,https://rajbhavan.gov.in,Government of India,2026-01-01
N3,Official State Legislative Assembly Sites,https://evidhan.nic.in,Ministry of Parliamentary Affairs,2026-01-01
N4,Gazette of India Central Archive,https://egazette.gov.in,Government of India,2026-01-01
N5,General Election Results Portal,https://results.eci.gov.in,Election Commission of India,2026-01-01
