state,office,start_date,new_end_date,notes,sources
West Bengal,cm,2011-05-20,2026-05-07,Term ended following the 2026 assembly election.,N2
West Bengal,cm,2021-05-05,2026-05-07,Mamata Banerjee's third ministry ended following the 2026 assembly election,S51;S6
Kerala,cm,2021-05-20,2026-05-18,Pinarayi Vijayan's second ministry ended when V. D. Satheesan was sworn in,S52;S7
Tamil Nadu,cm,2021-05-07,2026-05-10,M. K. Stalin's ministry ended when C. Joseph Vijay was sworn in,S50;S49
Assam,cm,2021-05-10,2026-05-12,Himanta Biswa Sarma's first term ended; he was re-sworn the same day for a second term,S11;S45
Puducherry,cm,2021-05-07,2026-05-13,N. Rangaswamy's fourth term ended; he was re-sworn the same day for a fifth term,S66;S9
Karnataka,cm,2023-05-20,2026-06-03,Siddaramaiah resigned 28 May 2026 and remained caretaker until D. K. Shivakumar was sworn in on 3 June 2026,S53;S44;S12
Manipur,presidents_rule,2025-02-13,2026-02-04,President's Rule imposed under Article 356 and revoked with effect from 4 February 2026,S13;S14
Bihar,cm,2024-01-28,2025-11-20,Nitish Kumar's ninth ministry ended; he was re-sworn the same day for a tenth term,S55;S15
Delhi,cm,2024-09-21,2025-02-20,Atishi's term ended when Rekha Gupta was sworn in after the 2025 assembly election,S17;S16
Jharkhand,cm,2024-02-02,2024-07-03,Champai Soren resigned to make way for Hemant Soren's return after bail,S54
Jharkhand,cm,2024-07-04,2024-11-28,Hemant Soren's third term ended; re-sworn the same day for a fourth term after the 2024 election,S54;S21
Haryana,cm,2024-03-12,2024-10-17,Nayab Singh Saini's first term ended; re-sworn the same day for a second term after the 2024 election,S23;S22
Maharashtra,cm,2022-06-30,2024-12-05,Eknath Shinde's term ended when Devendra Fadnavis was sworn in. Start date not confirmed against a retrieved source,S20
Odisha,cm,2000-03-05,2024-06-12,Naveen Patnaik's tenure ended when Mohan Charan Majhi was sworn in,S19
Jammu and Kashmir,presidents_rule,2018-12-20,2024-10-16,Revoked ahead of Omar Abdullah's swearing-in. Start date not confirmed against a retrieved source,S69;S24
