label,from_year,to_year,disposition,party_id,reason
AAP,,,resolve,aam-aadmi-party,
ABLC,,,create,,
AD,,,create,,
AGP,,,resolve,asom-gana-parishad,
AIADMK,,,resolve,all-india-anna-dravida-munnetra-kazhagam,
AIFB,,,create,,
AITC,,,create,,
ASDC,,,create,,
BJD,,,resolve,biju-janata-dal,
BJP,,,resolve,bharatiya-janata-party,
BKD,,,create,,
BLD,,,create,,
BPF,,,create,,
BSP,,,resolve,bahujan-samaj-party,
Bharatiya Janata Party,,,resolve,bharatiya-janata-party,
CONG (S),,,create,,"Congress (Socialist), distinct; created verbatim"
CONG(I),,,create,,A4 doctrine: INC(I) never becomes INC; create verbatim. Anachronism reported: rows from 1956 predate the 1978 split. Gate may overrule to a windowed resolve
CONG(O),,,create,,"Congress (Organisation), a distinct 1969-77 party; created verbatim"
CPI,,,resolve,communist-party-of-india,
CPI(M),,,resolve,communist-party-of-india-marxist,
Communist,,,create,,
Congress,,,resolve,indian-national-congress,"the party's common name in early RS records (663 rows, 1952-96); human pairing, matcher would not make it"
DMK,,,resolve,dravida-munnetra-kazhagam,
DSP,,,create,,
Dravida Munnetra Kazhagam,,,resolve,dravida-munnetra-kazhagam,
FB,,,create,,
FB(M),,,create,,
GP,,,create,,
HM,,,create,,
HSPDP,,,create,,
HVC,,,create,,
HVP,,,create,,
INC,,,resolve,indian-national-congress,
IND.,,,resolve,ind,trailing-dot variant of the independents pseudo-party
INLD,,,resolve,indian-national-lok-dal,
IUML,,,resolve,indian-union-muslim-league,
Indian National Congress,,,resolve,indian-national-congress,
J&K PDP,,,create,,
J&KNC,,,resolve,jammu-kashmir-national-conference,abbreviation variant of the existing row (NC)
JAN,,,create,,Bharatiya Jana Sangh; the D3-created bjs row is absent from this rebuilt sandbox - emit a merge candidate at insert instead of resolving blind
JD,,,resolve,janata-dal,
JD(S),,,resolve,janata-dal-secular,
JD(U),,,resolve,janata-dal-united,
JHKP,,,create,,
JLD,,,create,,
JMM,,,resolve,jharkhand-mukti-morcha,
JP,,,resolve,janata-party,
JS,,,create,,
Janata (G),,,create,,
KC,,,create,,
KC(M),,,create,,
KMPP,,,create,,
LD,,,create,,
LJD,,,create,,
LJP,,,create,,
MDMK,,,create,,
ML,,,create,,
MNF,,,resolve,mizo-national-front,
MPP,,,create,,
N.P.F.,,,create,,
NCP,,,resolve,nationalist-congress-party,
NPC,,,create,,
NPF,,,resolve,naga-people-s-front,
NPP,,,resolve,national-people-s-party,
Nominated,,,create,,
PDF,,,create,,
PDP,,,resolve,jammu-and-kashmir-peoples-democratic-party,
PIP,,,create,,
PMK,,,create,,
PSP,,,resolve,praja-socialist-party,
PWP,,,create,,
RJD,,,resolve,rashtriya-janata-dal,
RLD,,,create,,
RPI,,,create,,
RPI (ATWL),,,create,,
RSP,,,create,,
Republican,,,create,,
SAD,,,resolve,shiromani-akali-dal,
SAMATA,,,create,,
SBP,,,create,,
SCF,,,create,,
SDF,,,resolve,sikkim-democratic-front,
SP,,,resolve,samajwadi-party,"RS SP rows span 1992-2022, entirely inside the Samajwadi era per the elections windows"
SS,,,resolve,shiv-sena,RS abbreviation for Shiv Sena (archive abbrev SHS); human pairing
SSP,,,create,,
Samajwadi Party,,,resolve,samajwadi-party,
Socialist,,,create,,
Swatantra,,,create,,
TDP,,,resolve,telugu-desam-party,
TMC(M),,,create,,
TRS,,,create,,
UDF(N),,,create,,
UPP(L),,,create,,
YSRCP,,,create,,
