ge_upstream_id,state_name,party,candidates,seats_won,votes
GE-1952-L1,Ajmer,INC,2,2,89761
GE-1952-L1,Ajmer,BJS,1,0,28990
GE-1952-L1,Ajmer,CPI,1,0,25128
GE-1952-L1,Ajmer,RRP,1,0,13624
GE-1952-L1,Ajmer,PURP,1,0,10778
GE-1952-L1,Ajmer,IND,2,0,10718
GE-1952-L1,Assam,INC,11,11,1210707
GE-1952-L1,Assam,SP,8,1,506943
GE-1952-L1,Assam,IND,9,0,363670
GE-1952-L1,Assam,KMPP,6,0,265687
GE-1952-L1,Assam,TS,1,0,116629
GE-1952-L1,Assam,BJS,2,0,96303
GE-1952-L1,Assam,APP,1,0,36851
GE-1952-L1,Assam,KJD,1,0,32987
GE-1952-L1,Assam,HPP,1,0,17350
GE-1952-L1,Bhopal,INC,2,2,97292
GE-1952-L1,Bhopal,HMS,1,0,34712
GE-1952-L1,Bhopal,IND,1,0,25316
GE-1952-L1,Bhopal,KMM,1,0,8808
GE-1952-L1,Bhopal,SP,1,0,3329
GE-1952-L1,Bihar,INC,54,45,4573058
GE-1952-L1,Bihar,SP,47,3,2126066
GE-1952-L1,Bihar,JHP,7,3,749702
GE-1952-L1,Bihar,LSS,4,2,309940
GE-1952-L1,Bihar,IND,49,1,1306660
GE-1952-L1,Bihar,CNSPJP,6,1,236094
GE-1952-L1,Bihar,KMPP,15,0,318760
GE-1952-L1,Bihar,FBL(MG),6,0,133320
GE-1952-L1,Bihar,RRP,3,0,80161
GE-1952-L1,Bihar,UKS,2,0,60254
GE-1952-L1,Bihar,BJS,2,0,39939
GE-1952-L1,Bihar,CPI,2,0,39272
GE-1952-L1,Bihar,HMS,1,0,19225
GE-1952-L1,Bilaspur,IND,1,1,0
GE-1952-L1,Bombay,INC,44,40,5781277
GE-1952-L1,Bombay,IND,36,3,1380484
GE-1952-L1,Bombay,PWP,11,1,807019
GE-1952-L1,Bombay,SCF,4,1,511028
GE-1952-L1,Bombay,SP,25,0,1682494
GE-1952-L1,Bombay,KMPP,10,0,639788
GE-1952-L1,Bombay,RRP,6,0,201486
GE-1952-L1,Bombay,KLP,3,0,164569
GE-1952-L1,Bombay,CPI,3,0,154073
GE-1952-L1,Bombay,KKP,3,0,132574
GE-1952-L1,Bombay,FBL(MG),2,0,70266
GE-1952-L1,Bombay,NAT,1,0,3232
GE-1952-L1,Coorg,INC,1,1,38063
GE-1952-L1,Coorg,IND,1,0,25750
GE-1952-L1,Delhi,INC,4,3,324214
GE-1952-L1,Delhi,KMPP,1,1,47735
GE-1952-L1,Delhi,BJS,3,0,169997
GE-1952-L1,Delhi,IND,8,0,83045
GE-1952-L1,Delhi,SCF,1,0,22702
GE-1952-L1,Delhi,RRP,1,0,4286
GE-1952-L1,Delhi,HMS,1,0,3921
GE-1952-L1,Himachal_Pradesh,INC,3,3,117036
GE-1952-L1,Himachal_Pradesh,KMPP,2,0,27368
GE-1952-L1,Himachal_Pradesh,BJS,2,0,23918
GE-1952-L1,Himachal_Pradesh,IND,1,0,19099
GE-1952-L1,Himachal_Pradesh,SCF,1,0,18988
GE-1952-L1,Himachal_Pradesh,SP,1,0,16780
GE-1952-L1,Hyderabad,INC,25,14,1945798
GE-1952-L1,Hyderabad,PDF,12,7,1367404
GE-1952-L1,Hyderabad,SP,13,1,651316
GE-1952-L1,Hyderabad,IND,15,1,388939
GE-1952-L1,Hyderabad,SCF,4,1,308591
GE-1952-L1,Hyderabad,PWP,2,1,185168
GE-1952-L1,Hyderabad,HSPP,1,0,7646
GE-1952-L1,Kutch,INC,2,2,78771
GE-1952-L1,Kutch,IND,2,0,34824
GE-1952-L1,Kutch,SP,1,0,5985
GE-1952-L1,Madhya_Bharat,INC,11,9,992159
GE-1952-L1,Madhya_Bharat,HMS,2,2,122213
GE-1952-L1,Madhya_Bharat,RRP,4,0,278475
GE-1952-L1,Madhya_Bharat,SP,8,0,268399
GE-1952-L1,Madhya_Bharat,BJS,4,0,188569
GE-1952-L1,Madhya_Bharat,IND,6,0,74392
GE-1952-L1,Madhya_Bharat,CPI,2,0,24716
GE-1952-L1,Madhya_Bharat,KMPP,1,0,4648
GE-1952-L1,Madhya_Pradesh,INC,29,27,3713537
GE-1952-L1,Madhya_Pradesh,IND,23,2,858407
GE-1952-L1,Madhya_Pradesh,SP,20,0,877392
GE-1952-L1,Madhya_Pradesh,KMPP,9,0,451749
GE-1952-L1,Madhya_Pradesh,RRP,9,0,396661
GE-1952-L1,Madhya_Pradesh,BJS,8,0,355356
GE-1952-L1,Madhya_Pradesh,SCF,3,0,316302
GE-1952-L1,Madhya_Pradesh,SKP,3,0,137343
GE-1952-L1,Madhya_Pradesh,FBL(RG),3,0,34137
GE-1952-L1,Madhya_Pradesh,CPI,1,0,29422
GE-1952-L1,Madhya_Pradesh,HMS,1,0,22285
GE-1952-L1,Madras,INC,74,35,7253452
GE-1952-L1,Madras,IND,100,15,4614210
GE-1952-L1,Madras,CPI,16,8,1783407
GE-1952-L1,Madras,KMPP,31,6,1952197
GE-1952-L1,Madras,TNT,7,4,889292
GE-1952-L1,Madras,CWL,3,3,325398
GE-1952-L1,Madras,SP,20,2,1055423
GE-1952-L1,Madras,FBL(MG),5,1,332196
GE-1952-L1,Madras,ML,1,1,79470
GE-1952-L1,Madras,KLP,19,0,968416
GE-1952-L1,Madras,SCF,9,0,524138
GE-1952-L1,Madras,JUSP,1,0,63254
GE-1952-L1,Madras,REP,2,0,44286
GE-1952-L1,Madras,FBL(RG),1,0,18061
GE-1952-L1,Madras,HMS,2,0,15558
GE-1952-L1,Madras,RRP,2,0,15403
GE-1952-L1,Manipur,INC,2,1,36317
GE-1952-L1,Manipur,SP,2,1,29372
GE-1952-L1,Manipur,AMN,2,0,22083
GE-1952-L1,Manipur,PP,2,0,16955
GE-1952-L1,Manipur,IND,2,0,13737
GE-1952-L1,Manipur,CPI,1,0,13184
GE-1952-L1,Manipur,KNA,1,0,12155
GE-1952-L1,Manipur,GSS,1,0,7196
GE-1952-L1,Manipur,HR,1,0,1468
GE-1952-L1,Mysore,INC,11,10,1509075
GE-1952-L1,Mysore,KMPP,9,1,650658
GE-1952-L1,Mysore,IND,8,0,292472
GE-1952-L1,Mysore,SP,4,0,181430
GE-1952-L1,Mysore,BJS,4,0,117470
GE-1952-L1,Mysore,CPI,1,0,73322
GE-1952-L1,Odisha,INC,18,11,1555787
GE-1952-L1,Odisha,GP,12,6,959749
GE-1952-L1,Odisha,SP,10,1,563462
GE-1952-L1,Odisha,IND,12,1,316538
GE-1952-L1,Odisha,CPI,4,1,211303
GE-1952-L1,Odisha,KMPP,2,0,52654
GE-1952-L1,Patiala_&_East_Punjab_States_Union_(PEPSU),INC,5,2,492408
GE-1952-L1,Patiala_&_East_Punjab_States_Union_(PEPSU),SAD,3,2,477638
GE-1952-L1,Patiala_&_East_Punjab_States_Union_(PEPSU),IND,16,1,311635
GE-1952-L1,Patiala_&_East_Punjab_States_Union_(PEPSU),BJS,2,0,43349
GE-1952-L1,Patiala_&_East_Punjab_States_Union_(PEPSU),RCPI,1,0,41030
GE-1952-L1,Patiala_&_East_Punjab_States_Union_(PEPSU),KMPP,2,0,39749
GE-1952-L1,Patiala_&_East_Punjab_States_Union_(PEPSU),SP,1,0,38222
GE-1952-L1,Patiala_&_East_Punjab_States_Union_(PEPSU),FBL(MG),1,0,31081
GE-1952-L1,Punjab,INC,18,16,2134586
GE-1952-L1,Punjab,SAD,8,2,569973
GE-1952-L1,Punjab,IND,45,0,930383
GE-1952-L1,Punjab,ZP,5,0,291300
GE-1952-L1,Punjab,BJS,9,0,279639
GE-1952-L1,Punjab,CPI,4,0,251623
GE-1952-L1,Punjab,SCF,2,0,239064
GE-1952-L1,Punjab,RRP,3,0,124306
GE-1952-L1,Punjab,SP,4,0,107713
GE-1952-L1,Punjab,FBL(MG),2,0,51962
GE-1952-L1,Punjab,DCL,1,0,11789
GE-1952-L1,Rajasthan,INC,20,9,1460971
GE-1952-L1,Rajasthan,IND,25,6,1028388
GE-1952-L1,Rajasthan,RRP,7,3,331760
GE-1952-L1,Rajasthan,KLP,7,1,356630
GE-1952-L1,Rajasthan,BJS,4,1,107089
GE-1952-L1,Rajasthan,SP,6,0,119287
GE-1952-L1,Rajasthan,SCF,1,0,44171
GE-1952-L1,Rajasthan,HMS,1,0,35338
GE-1952-L1,Rajasthan,KMPP,1,0,31443
GE-1952-L1,Rajasthan,KJSP,1,0,6390
GE-1952-L1,Rajasthan,CPI,1,0,5490
GE-1952-L1,Saurashtra,INC,6,6,506112
GE-1952-L1,Saurashtra,HMS,4,0,99311
GE-1952-L1,Saurashtra,IND,3,0,58343
GE-1952-L1,Saurashtra,SP,2,0,36980
GE-1952-L1,Saurashtra,KMPP,4,0,32193
GE-1952-L1,Saurashtra,SKS,1,0,29766
GE-1952-L1,Travancore_Cochin,INC,11,6,1224533
GE-1952-L1,Travancore_Cochin,IND,20,4,1265051
GE-1952-L1,Travancore_Cochin,RSP,1,1,220312
GE-1952-L1,Travancore_Cochin,TTC,1,1,115893
GE-1952-L1,Travancore_Cochin,SP,9,0,459669
GE-1952-L1,Travancore_Cochin,KSP,1,0,102098
GE-1952-L1,Travancore_Cochin,RPP,2,0,57815
GE-1952-L1,Travancore_Cochin,TP,1,0,36158
GE-1952-L1,Travancore_Cochin,CP,1,0,8947
GE-1952-L1,Tripura,CPI,2,2,96458
GE-1952-L1,Tripura,INC,2,0,40263
GE-1952-L1,Tripura,IND,1,0,10987
GE-1952-L1,Tripura,BJS,2,0,9663
GE-1952-L1,Uttar_Pradesh,INC,86,81,9047392
GE-1952-L1,Uttar_Pradesh,SP,61,2,2208678
GE-1952-L1,Uttar_Pradesh,IND,83,2,1936383
GE-1952-L1,Uttar_Pradesh,HMS,12,1,325601
GE-1952-L1,Uttar_Pradesh,BJS,41,0,1244099
GE-1952-L1,Uttar_Pradesh,KMPP,37,0,836129
GE-1952-L1,Uttar_Pradesh,RRP,21,0,606030
GE-1952-L1,Uttar_Pradesh,SCF,9,0,511852
GE-1952-L1,Uttar_Pradesh,UPPP,6,0,213656
GE-1952-L1,Uttar_Pradesh,RSP,4,0,64791
GE-1952-L1,Uttar_Pradesh,CPI,2,0,59699
