ge_upstream_id,state_name,constituencies,seats,electors_total,ballots_cast,votes_valid
GE-1952-L1,Ajmer,2,2,329484,178999,178999
GE-1952-L1,Assam,10,12,4141720,2647127,2647127
GE-1952-L1,Bhopal,2,2,419970,169457,169457
GE-1952-L1,Bihar,44,55,18080181,9992451,9992451
GE-1952-L1,Bilaspur,1,1,68130,0,0
GE-1952-L1,Bombay,37,45,16789609,11528290,11528290
GE-1952-L1,Coorg,1,1,94593,63813,63813
GE-1952-L1,Delhi,3,4,744668,655900,655900
GE-1952-L1,Himachal_Pradesh,2,3,531018,223189,223189
GE-1952-L1,Hyderabad,21,25,9032229,4854862,4854862
GE-1952-L1,Kutch,2,2,288400,119580,119580
GE-1952-L1,Madhya_Bharat,9,11,4090857,1953571,1953571
GE-1952-L1,Madhya_Pradesh,23,29,11075140,7192591,7192591
GE-1952-L1,Madras,62,75,26980961,19934161,19934161
GE-1952-L1,Manipur,2,2,298552,152467,152467
GE-1952-L1,Mysore,9,11,3969735,2824427,2824427
GE-1952-L1,Odisha,16,20,7708161,3659493,3659493
GE-1952-L1,Patiala_&_East_Punjab_States_Union_(PEPSU),4,5,1763531,1475112,1475112
GE-1952-L1,Punjab,15,18,6718345,4992338,4992338
GE-1952-L1,Rajasthan,18,20,7676419,3526957,3526957
GE-1952-L1,Saurashtra,6,6,1838880,762705,762705
GE-1952-L1,Travancore_Cochin,11,12,4210244,3490476,3490476
GE-1952-L1,Tripura,2,2,329806,157371,157371
GE-1952-L1,Uttar_Pradesh,69,86,31770309,17074975,17074975
GE-1952-L1,Vindhya_Pradesh,4,6,1760926,705838,705838
GE-1952-L1,West_Bengal,26,34,12500475,7613933,7613933
GE-1957-L2,Andhra_Pradesh,35,43,17668716,9531373,9531373
GE-1957-L2,Assam,10,12,4495359,2292612,2292612
GE-1957-L2,Bihar,45,53,19514567,10007876,10007876
GE-1957-L2,Bombay,58,66,24458672,16760285,16760285
GE-1957-L2,Delhi,4,5,976352,811344,811344
GE-1957-L2,Himachal_Pradesh,3,4,671906,362641,362641
GE-1957-L2,Kerala,16,18,7514626,6050246,6050246
GE-1957-L2,Madhya_Pradesh,27,36,14010137,7614222,7614222
GE-1957-L2,Madras,34,41,17514993,10950841,10950841
GE-1957-L2,Manipur,2,2,330211,174091,174091
GE-1957-L2,Mysore,23,26,10006936,5798440,5798440
GE-1957-L2,Odisha,14,20,7983915,4440490,4440490
GE-1957-L2,Punjab,17,22,9209026,7183830,7183830
GE-1957-L2,Rajasthan,18,22,8745726,4649083,4649083
GE-1957-L2,Tripura,1,2,432902,550338,550338
GE-1957-L2,Uttar_Pradesh,68,86,34901603,22896103,22896103
GE-1957-L2,West_Bengal,28,36,15216532,10440100,10440100
