label,from_year,to_year,disposition,party_id,reason
AKAP,,,create,,
AMN,,,create,,
APP,,,create,,
BBSS,,,create,,
BJS,,,create,,
BLC,,,create,,
BPI,,,create,,
CNPSPJP,,,create,,
CNSPJP,,,create,,
COCP,,,create,,
CP,,,create,,
CPI,,,resolve,communist-party-of-india,
CWL,,,create,,
CWP,,,create,,
DCL,,,create,,
FBL(MG),,,create,,
FBL(RG),,,create,,
FBM,,,create,,
GNC,,,create,,
GP,,,create,,
GSS,,,create,,
HMS,,,create,,
HPP,,,create,,
HR,,,create,,
HSDCA,,,create,,
HSPP,,,create,,
IDL,,,create,,
INC,,,resolve,indian-national-congress,
IND,,,resolve,ind,
JHP,,,create,,
JUSP,,,create,,
KJD,,,create,,
KJFSC,,,create,,
KJRO,,,create,,
KJSP,,,create,,
KKP,,,create,,
KLP,,,create,,
KMM,,,create,,
KMPP,,,create,,
KNA,,,create,,
KSP,,,create,,
LCP,,,create,,
LKSS,,,create,,
LSS,,,create,,
MBKCSU,,,create,,
ML,,,create,,
MLP,,,create,,
MU,,,create,,
NAT,,,create,,
PDCL,,,create,,
PDF,,,create,,
PIP,,,create,,
PP,,,create,,
PSP,,,resolve,praja-socialist-party,
PURP,,,create,,
PWP,,,create,,
RAD,,,create,,
RCPI,,,create,,
REP,,,create,,
RPP,,,create,,
RRP,,,create,,
RSP,,,create,,
RSP(UP),,,create,,
SAD,,,resolve,shiromani-akali-dal,
SAD(MG),,,create,,
SAD(RG),,,create,,
SCF,,,create,,
SCTS,,,create,,
SJS,,,create,,
SKP,,,create,,
SKS,,,create,,
SP,,1952,create,,"era collision (rulings 2026-08-28/30): the pre-merger Socialist Party; its label mass is entirely 1952, and it merged into PSP in September 1952 - TCPD itself uses SOC/PSP/SSP afterwards"
SP,1993,,resolve,samajwadi-party,"Samajwadi Party founded 1992-10-04 and first contested in 1993; the label mass resumes exactly 1993. Window proposed 2026-08-30, pending gate approval. The 1953-1992 gap is HELD: 6 stray rows (3 AE 1975; 2 GE 1991, 1 GE Feb 1992 - all pre-founding, cannot be Samajwadi)"
T L,,,create,,
T T P,,,create,,
TCRPP,,,create,,
TNT,,,create,,
TP,,,create,,
TPF,,,create,,
TS,,,create,,
TTC,,,create,,
TTCP,,,create,,
TTNC,,,create,,
UKS,,,create,,
UMFO,,,create,,
UNI,,,create,,
UPPP,,,create,,
UPRSP,,,create,,
USCF,,,create,,
VPKS,,,create,,
ZP,,,create,,
